,drug_labels,drug_rxcui,indications_label,indications_mondo,indications_umls
11,CHLOROQUINE|CHLOROQUINE PHOSPHATE|CHLOROQUINE PHOSPHATE.|CHLOROQUINE.,2393,Systemic lupus erythematosus,MONDO:0007915,C0024141
12,ETODOLAC|ETODOLAC.|Lodine,24605,,,
13,AMIFOSTINE|AMIFOSTINE.|ETHYOL,4126,,,
14,BONJESTA|DICLEGIS|UNISOM,3642,,,
15,CYTOTEC|MISOPROSTOL|MISOPROSTOL.,42331,,,
16,OLYSIO|SIMEPREVIR,1482790,Hepatitis C|Hepatic cirrhosis,MONDO:0005231|MONDO:0005155,C0019196|C0023890
17,ETHOSUXIMIDE|ETHOSUXIMIDE.|Zarontin,4135,Epilepsy|Petit mal epilepsy,MONDO:0005027|MONDO:0010826,C0014544|C0014553
18,LABETALOL|LABETALOL HYDROCHLORIDE|LABETALOL HYDROCHLORIDE.,6185,Hypertension,MONDO:0005044,C0020538
19,MESNA|MESNA.|MESNEX,44,,,
20,ENTYVIO|Vedolizumab,1538097,Crohn's disease|Colitis ulcerative|Inflammatory bowel disease|Colitis|Graft versus host disease,MONDO:0005011|MONDO:0005101|MONDO:0005265|MONDO:0005292|MONDO:0013730,C0010346|C0009324|C0021390|C0009319|C0018133
21,Edoxaban|SAVAYSA,1599538,Atrial fibrillation|Pulmonary embolism,MONDO:0004981|MONDO:0005279,C0004238|C0034065
22,CARISOPRODOL|CARISOPRODOL.|SOMA,2101,,,
23,TRABECTEDIN|YONDELIS,1716278,Ovarian cancer|Leiomyosarcoma,MONDO:0008170|MONDO:0005058,C1140680|C0023269
24,OLANZAPINE|OLANZAPINE PAMOATE|OLANZAPINE.|ZYPREXA,61381,"Schizophrenia|Bipolar disorder|Psychotic disorder|Depression|Schizoaffective disorder|Anxiety|Mental disorder|Schizophrenia, paranoid type|Sleep disorder|Affective disorder|Insomnia|Dementia|Obsessive-compulsive disorder|Anxiety disorder",MONDO:0005090|MONDO:0004985|MONDO:0005485|MONDO:0002050|MONDO:0005487|MONDO:0011918|MONDO:0002025|MONDO:0001484|MONDO:0003406|MONDO:0005371|MONDO:0013600|MONDO:0001627|MONDO:0008114|MONDO:0005618,C0036341|C0005586|C0033975|C0011570|C0036337|C0003467|C0004936|C0036349|C0851578|C0525045|C0917801|C0497327|C0028768|C0003469
25,Abacavir|ABACAVIR SULFATE.|ABACAVIR.|ZIAGEN,190521,HIV infection,MONDO:0005109,C0019693
26,COLISTIMETHATE,2708,,,
27,CHLOR-TRIMETON|CHLORPHENAMINE|CHLORPHENIRAMINE|CHLORPHENIRAMINE MALEATE|CHLORPHENIRAMINE MALEATE.|CHLORPHENIRAMINE.,2400,,,
28,CARTEOLOL|OCUPRESS,2116,,,
29,BROMOCRIPTINE|BROMOCRIPTINE MESYLATE|CYCLOSET|PARLODEL,1760,Prolactinoma|Parkinson's disease|Prolactin-producing pituitary tumour,MONDO:0010911|MONDO:0005180|MONDO:0003430,C0033375|C0030567|C0278863
30,Adempas|RIOCIGUAT|RIOCIGUAT.,1439816,Pulmonary arterial hypertension|Pulmonary hypertension|Cor pulmonale chronic,MONDO:0015924|MONDO:0005149|MONDO:0001493,C2973725|C0020542|C0238074
31,CEDAX|CEFTIBUTEN|CEFTIBUTEN.,20492,Urinary tract infection,MONDO:0005247,C0042029
32,GENERLAC|KRISTALOSE|LACTULOSE|LACTULOSE ORAL SOLUTION|LACTULOSE.,6218,Constipation,MONDO:0002203,C0009806
33,DIFLUCAN|FLUCONAZOLE|FLUCONAZOLE 150 MG|FLUCONAZOLE.,4450,Fungal infection|Vulvovaginal candidiasis|Candida infection|Oral candidiasis|Oesophageal candidiasis|Coccidioidomycosis|Onychomycosis|Urinary tract infection,MONDO:0015578|MONDO:0006014|MONDO:0002026|MONDO:0005886|MONDO:0001648|MONDO:0005706|MONDO:0001628|MONDO:0005247,C0026946|C0700345|C0006840|C0006849|C0239295|C0009186|C0040261|C0042029
34,AMIDATE|ETOMIDATE|ETOMIDATE.,4177,,,
35,ETOPOPHOS|ETOPOSIDE|ETOPOSIDE INJECTION|ETOPOSIDE PHOSPHATE|ETOPOSIDE Teva|ETOPOSIDE.|TOPOSAR,4179,Acute lymphocytic leukaemia|Small cell lung cancer|Hodgkin's disease|Acute myeloid leukaemia|Ewing's sarcoma|Lymphoma|Diffuse large B-cell lymphoma|Non-Hodgkin's lymphoma|Lung neoplasm malignant|Neuroblastoma|Testis cancer|Osteosarcoma|B-cell lymphoma|Gestational trophoblastic tumour|Germ cell cancer|Plasma cell myeloma|Testicular germ cell cancer,MONDO:0013108|MONDO:0008433|MONDO:0009348|MONDO:0018874|MONDO:0012817|MONDO:0005062|MONDO:0018905|MONDO:0011508|MONDO:0008903|MONDO:0009741|MONDO:0010108|MONDO:0021054|MONDO:0004095|MONDO:0016784|MONDO:0006290|MONDO:0009693|MONDO:0003510,C0023449|C0149925|C0019829|C0023467|C0553580|C0024299|C0079744|C0024305|C0242379|C0027819|C0153594|C0029463|C0079731|C1135868|C0740345|C0026764|C0855197
36,APTIVUS|TIPRANAVIR,190548,,,
37,ALISKIREN|TEKTURNA,325646,Cardiovascular disorder|Cardiac failure|Hypertension,MONDO:0004995|MONDO:0005252|MONDO:0005044,C0007222|C0018801|C0020538
38,ALCAINE|PROPARACAINE|PROPARACAINE HCL,34905,,,
39,Relenza|ZANAMIVIR,69722,Influenza|H1N1 influenza,MONDO:0013855|MONDO:0005460,C0021400|C2076600
40,FERRIC CARBOXYMALTOSE|INJECTAFER,1433693,Iron deficiency anaemia|Anaemia,MONDO:0001356|MONDO:0002280,C0162316|C0002871
41,DEGARELIX|FIRMAGON,475230,Prostate cancer,MONDO:0008315,C0376358
42,DOFETILIDE|DOFETILIDE.|Tikosyn,49247,Atrial fibrillation|Arrhythmia|Cardiac disorder|Atrial flutter,MONDO:0004981|MONDO:0007263|MONDO:0005267|MONDO:0005310,C0004238|C0003811|C0018799|C0004239
43,ETORICOXIB,307296,,,
44,AMICAR|AMINOCAPROIC ACID|AMINOCAPROIC ACID.,99,,,
45,GOLIMUMAB|SIMPONI,819300,Rheumatoid arthritis|Ankylosing spondylitis|Colitis ulcerative|Psoriatic arthropathy|Crohn's disease|Psoriasis|Arthritis|Spondylitis|Spondyloarthropathy|Juvenile idiopathic arthritis|Colitis|Polyarthritis,MONDO:0008383|MONDO:0005306|MONDO:0005101|MONDO:0011849|MONDO:0005011|MONDO:0005083|MONDO:0005578|MONDO:0003937|MONDO:0005095|MONDO:0011429|MONDO:0005292|MONDO:0024280,C0003873|C0038013|C0009324|C0003872|C0010346|C0033860|C0003864|C0038012|C0949691|C3495559|C0009319|C0162323
46,VERTEPORFIN|VISUDYNE,118886,Age-related macular degeneration|Macular degeneration,MONDO:0005150|MONDO:0003004,C0242383|C0024437
47,6-MERCAPTOPURINE|MERCAPTOPURINE|MERCAPTOPURINE.|PURIXAN,103,Acute lymphocytic leukaemia|Crohn's disease|Colitis ulcerative,MONDO:0013108|MONDO:0005011|MONDO:0005101,C0023449|C0010346|C0009324
48,TRAMADOL|TRAMADOL HYDROCHLORIDE|TRAMADOL HYDROCHLORIDE.|TRAMADOL.|TRAMADOL/ACETAMINOPHEN|ULTRACET,352362,Fibromyalgia|Osteoarthritis|Arthritis,MONDO:0005546|MONDO:0008143|MONDO:0005578,C0016053|C0029408|C0003864
49,MIDOSTAURIN|RYDAPT,1919083,Acute myeloid leukaemia|Systemic mastocytosis,MONDO:0018874|MONDO:0016586,C0023467|C0221013
50,BUNAVAIL|BUPRENORPHINE|BUPRENORPHINE / NALOXONE|BUPRENORPHINE NALOXONE|BUPRENORPHINE-NALOXONE|BUPRENORPHINE.|BUPRENORPHINE/NALOXONE|BUPRENORPHINE\NALOXONE|NALOXONE|Suboxone|Zubsolv,352364,Drug dependence|Drug abuse|Dependence|Drug withdrawal syndrome|Depression,MONDO:0005303|MONDO:0002491|MONDO:0004938|MONDO:0005567|MONDO:0002050,C1510472|C0013146|C0439857|C0152128|C0011570
51,panitumumab|Vectibix,263034,Colon cancer|Colorectal cancer|Rectal cancer|Adenocarcinoma of colon|Rectosigmoid cancer,MONDO:0021063|MONDO:0005575|MONDO:0006519|MONDO:0002271|MONDO:0002424,C0007102|C1527249|C0007113|C0338106|C1327709
52,SOFOSBUVIR|SOFOSBUVIR 400 MG|SOVALDI|VOSEVI,1484911,Hepatitis C|Hepatic cirrhosis|Hepatitis,MONDO:0005231|MONDO:0005155|MONDO:0002251,C0019196|C0023890|C0019158
53,Restoril|Temazepam|TEMAZEPAM.,10355,Insomnia|Sleep disorder,MONDO:0013600|MONDO:0003406,C0917801|C0851578
54,DEXMETHYLPHENIDATE|DEXMETHYLPHENIDATE HYDROCHLORIDE|DEXMETHYLPHENIDATE HYDROCHLORIDE.|FOCALIN,352372,,,
55,DIOVAN|VALSARTAN|VALSARTAN 160 MG|VALSARTAN.,69749,Hypertension|Cardiac disorder|Cardiac failure,MONDO:0005044|MONDO:0005267|MONDO:0005252,C0020538|C0018799|C0018801
56,EDARBYCLOR,2409,Hypertension,MONDO:0005044,C0020538
57,ATROPINE|ATROPINE SULFATE|ATROPINE SULFATE.|ATROPINE.|ATROPINE/DIPHENOXYLATE|LOMOTIL,594040,,,
58,FLUDARABINE|FLUDARABINE PHOSPHATE|FLUDARABINE PHOSPHATE.,24698,Chronic lymphocytic leukaemia|Acute myeloid leukaemia|Acute lymphocytic leukaemia|B-cell lymphoma|Non-Hodgkin's lymphoma,MONDO:0004948|MONDO:0018874|MONDO:0013108|MONDO:0004095|MONDO:0011508,C0023434|C0023467|C0023449|C0079731|C0024305
59,METHOHEXITAL,6847,,,
60,Cardura|Carduran|DOXAZOSIN|DOXAZOSIN MESYLATE|DOXAZOSIN MESYLATE.|Zoxan,49276,Hypertension|Benign prostatic hyperplasia,MONDO:0005044|MONDO:0010811,C0020538|C1704272
61,GLIPIZIDE|GLIPIZIDE.|GLIPIZIDE/METFORMIN|METFORMIN|METFORMIN HCL|METFORMIN HYDROCHLORIDE|METFORMIN HYDROCHLORIDE.,352381,Type 2 diabetes mellitus|Diabetes mellitus|Polycystic ovaries|Glucose tolerance impaired|Type 1 diabetes mellitus|Hyperglycaemia|Gestational diabetes|Autism spectrum disorder,MONDO:0015122|MONDO:0015122|MONDO:0008487|MONDO:0001076|MONDO:0009100|MONDO:0002909|MONDO:0007453|MONDO:0005260,C0011860|C0011849|C0032460|C0271650|C0011854|C0020456|C0085207|C1510586
62,TERBUTALINE|TERBUTALINE SULFATE|TERBUTALINE SULFATE.,10368,,,
63,Cefadroxil|CEFADROXIL.,2177,,,
64,Cetirizine|CETIRIZINE DIHYDROCHLORIDE|CETIRIZINE HYDROCHLORIDE|CETIRIZINE HYDROCHLORIDE.|REACTINE|ZIRTEK|ZYRTEC,20610,Hypersensitivity|Seasonal allergy|Urticaria|Rhinitis allergic|Lacrimation increased|Rash|Nasopharyngitis|Sinus disorder|Asthma|Chronic spontaneous urticaria|Sinusitis,MONDO:0005271|MONDO:0005324|MONDO:0005492|MONDO:0011786|MONDO:0001793|MONDO:0006547|MONDO:0001040|MONDO:0001735|MONDO:0004979|MONDO:0044212|MONDO:0005961,C0020517|C0018621|C0042109|C2607914|C0152227|C0015230|C0027441|C0030469|C0004096|C0578870|C0037199
65,Nortriptyline|Nortriptyline Hydrochloride|NORTRIPTYLINE HYDROCHLORIDE.|Pamelor,7531,Depression,MONDO:0002050,C0011570
66,CEFAZOLIN|CEFAZOLIN INJECTION|CEFAZOLIN SODIUM|CEFAZOLIN SODIUM.,2180,Staphylococcal infection,MONDO:0024313,C0038160
67,ABACAVIR/LAMIVUDINE|Epzicom,614534,HIV infection,MONDO:0005109,C0019693
68,PILOCARPINE|PILOCARPINE HCL|PILOCARPINE HYDROCHLORIDE|PILOCARPINE HYDROCHLORIDE.|PILOCARPINE.|SALAGEN,8328,Glaucoma,MONDO:0005041,C0017601
69,Adefovir|ADEFOVIR DIPIVOXIL|ADEFOVIR DIPIVOXIL.|HEPSERA,16521,Hepatitis B|Chronic hepatitis B|Hepatic cirrhosis,MONDO:0005344|MONDO:0005366|MONDO:0005155,C0019163|C0524909|C0023890
70,CEFOTAXIME|CEFOTAXIME SODIUM|CLAFORAN,2186,,,
71,CEFOTETAN,2187,,,
72,Avandia|Rosiglitazone|ROSIGLITAZONE MALEATE|ROSIGLITAZONE MALEATE.,84108,Diabetes mellitus|Type 2 diabetes mellitus,MONDO:0015122|MONDO:0015122,C0011849|C0011860
73,AVONEX|INTERFERON BETA-1A|REBIF,75917,Multiple sclerosis|Relapsing-remitting multiple sclerosis|Secondary progressive multiple sclerosis|Primary progressive multiple sclerosis,MONDO:0005301|MONDO:0005314|MONDO:0000450|MONDO:0000451,C0026769|C0751967|C0751965|C0751964
74,LYNPARZA|OLAPARIB|OLAPARIB.,1597582,Ovarian cancer|Prostate cancer|Breast cancer|Neoplasm malignant,MONDO:0008170|MONDO:0008315|MONDO:0007254|MONDO:0004992,C1140680|C0376358|C0006142|C0006826
75,AVYCAZ|Ceftazidime|CEFTAZIDIME.|FORTAZ,2191,,,
76,Obeticholic acid|OCALIVA,1798288,Biliary cirrhosis primary|Biliary cirrhosis|Cholangitis|Hepatic cirrhosis,MONDO:0007193|MONDO:0005388|MONDO:0004789|MONDO:0005155,C0008312|C0023892|C0008311|C0023890
77,CEFTRIAXON|CEFTRIAXONE|CEFTRIAXONE INJECTION|Ceftriaxone Sodium|CEFTRIAXONE SODIUM.|CEFTRIAXONE.,2193,Pneumonia|Urinary tract infection|Bronchitis|Osteomyelitis|Lyme disease|Endocarditis|Meningitis|Cellulitis,MONDO:0005249|MONDO:0005247|MONDO:0003781|MONDO:0005246|MONDO:0019632|MONDO:0000565|MONDO:0021108|MONDO:0005230,C0032285|C0042029|C0006277|C0029443|C0024198|C0014118|C0025289|C0007642
78,CEFTIN|CEFUROXIME|Cefuroxime Axetil|CEFUROXIME AXETIL.|CEFUROXIME SODIUM|CEFUROXIME SODIUM.|CEFUROXIME.|Zinacef,2194,Cellulitis|Urinary tract infection|Sinusitis|Pneumonia|Bronchitis,MONDO:0005230|MONDO:0005247|MONDO:0005961|MONDO:0005249|MONDO:0003781,C0007642|C0042029|C0037199|C0032285|C0006277
79,FORTEO|Teriparatide,32915,Osteoporosis|Senile osteoporosis|Bone disorder|Osteoporosis postmenopausal|Pathological fracture|Fracture|Osteoarthritis|Rheumatoid arthritis|Hypoparathyroidism,MONDO:0005298|MONDO:0008159|MONDO:0005381|MONDO:0005298|MONDO:0043606|MONDO:0005315|MONDO:0008143|MONDO:0008383|MONDO:0015896,C0029456|C0029459|C0005940|C0029458|C0016663|C0016658|C0029408|C0003873|C0020626
80,ACEBUTOLOL|ACEBUTOLOL HYDROCHLORIDE|ACEBUTOLOL HYDROCHLORIDE.|SECTRAL,149,,,
81,TETRABENAZINE|TETRABENAZINE.|XENAZINE,10390,Huntington's disease|Chorea|Tardive dyskinesia|Tourette's disorder|Dystonia|Tic|Meige's syndrome|Torticollis|Movement disorder,MONDO:0007739|MONDO:0017645|MONDO:0010096|MONDO:0007661|MONDO:0003441|MONDO:0002420|MONDO:0007920|MONDO:0008583|MONDO:0005395,C0020179|C0008489|C0686347|C0040517|C0013421|C0040188|C0025183|C0040485|C0026650
82,TETRACAINE|TETRACAINE.,10391,,,
83,ACENOCOUMAROL,154,,,
84,TETRACYCLINE|TETRACYCLINE HYDROCHLORIDE|TETRACYCLINE HYDROCHLORIDE.,10395,Acne,MONDO:0011438,C0702166
85,DACARBAZINE|DACARBAZINE.,3098,Hodgkin's disease,MONDO:0009348,C0019829
86,PENICILLIN V|PENICILLIN V POTASSIUM|PENICILLIN V POTASSIUM.|PHENOXYMETHYLPENICILLIN,7984,Tonsillitis,MONDO:0001039,C0040425
87,APAP|FEVERALL|MIDOL LONG LASTING RELIEF|OFIRMEV|Panadol|PARACETAMOL|TYLENOL,161,Influenza|Nasopharyngitis,MONDO:0013855|MONDO:0001040,C0021400|C0027441
88,DRONABINOL|DRONABINOL.|MARINOL|SYNDROS,10402,,,
89,FELDENE|PIROXICAM|PIROXICAM.,8356,,,
90,METHOXSALEN.|UVADEX,6854,Graft versus host disease|Chronic graft versus host disease,MONDO:0013730|MONDO:0020547,C0018133|C0867389
91,CUTIVATE|FLONASE|FLOVENT|FLUTICASONE|FLUTICASONE FUROATE|FLUTICASONE PROPIONATE|FLUTICASONE PROPIONATE.|FLUTICASONE.|Veramyst,41126,Hypersensitivity|Asthma|Chronic obstructive pulmonary disease|Sinus disorder|Rhinitis allergic|Sinusitis|Seasonal allergy|Eosinophilic oesophagitis|Nasopharyngitis|Rhinitis|Bronchitis|Respiratory disorder,MONDO:0005271|MONDO:0004979|MONDO:0011751|MONDO:0001735|MONDO:0011786|MONDO:0005961|MONDO:0005324|MONDO:0005361|MONDO:0001040|MONDO:0003014|MONDO:0003781|MONDO:0005087,C0020517|C0004096|C0024117|C0030469|C2607914|C0037199|C0018621|C0341106|C0027441|C0035455|C0006277|C0035204
92,ACETAZOLAMIDE|ACETAZOLAMIDE.|DIAMOX,167,,,
93,ACETIC ACID|ACETIC ACID.,168,,,
94,CALCIUM FOLINATE|FOLINIC ACID|LEUCOVORIN|LEUCOVORIN CALCIUM|LEUCOVORIN CALCIUM.|LEUCOVORIN.,6313,Colorectal cancer|Colon cancer|Acute lymphocytic leukaemia|Adenocarcinoma of colon|Rectal cancer|Pancreatic carcinoma,MONDO:0005575|MONDO:0021063|MONDO:0013108|MONDO:0002271|MONDO:0006519|MONDO:0016314,C1527249|C0007102|C0023449|C0338106|C0007113|C0235974
95,ASTELIN|ASTEPRO,18603,Rhinitis allergic|Sinusitis|Seasonal allergy,MONDO:0011786|MONDO:0005961|MONDO:0005324,C2607914|C0037199|C0018621
96,CHOLECALCIFEROL,2418,,,
97,ETHIODIZED OIL,4125,,,
98,PANCREATIN,7880,,,
99,BUPIVACAINE|BUPIVACAINE HYDROCHLORIDE|BUPIVACAINE HYDROCHLORIDE.|BUPIVACAINE.|CARBOSTESIN|MARCAIN|MARCAINE|SENSORCAINE,1815,,,
100,FERROUS SULFATE|FERROUS SULFATE.,24947,,,
101,FAMOTIDINE|FAMOTIDINE 40 MG|FAMOTIDINE.|PEPCID,4278,Gastrooesophageal reflux disease|Dyspepsia,MONDO:0007186|MONDO:0002268,C0017168|C0013395
102,Cefalexin|Cephalexin|Cephalexin 500 mg|CEPHALEXIN HYDROCHLORIDE|CEPHALEXIN MONOHYDRATE.|CEPHALEXIN.|KEFLEX,2231,Urinary tract infection|Cellulitis,MONDO:0005247|MONDO:0005230,C0042029|C0007642
103,GADODIAMIDE,41144,,,
104,MONTELUKAST|MONTELUKAST 10 MG|MONTELUKAST CHEWABLE TABLET|MONTELUKAST SODIUM|MONTELUKAST SODIUM.|SINGULAIR,88249,Asthma|Hypersensitivity|Rhinitis allergic|Seasonal allergy|Rhinitis|Urticaria|Chronic obstructive pulmonary disease|Chronic spontaneous urticaria|Bronchitis,MONDO:0004979|MONDO:0005271|MONDO:0011786|MONDO:0005324|MONDO:0003014|MONDO:0005492|MONDO:0011751|MONDO:0044212|MONDO:0003781,C0004096|C0020517|C2607914|C0018621|C0035455|C0042109|C0024117|C0578870|C0006277
105,EPTIFIBATIDE|EPTIFIBATIDE.|INTEGRILIN,75635,Thrombosis|Cerebral artery occlusion,MONDO:0000831|MONDO:0000944,C0040053|C0028790
106,THALIDOMIDE|THALOMID,10432,Plasma cell myeloma|Myelofibrosis|Systemic lupus erythematosus|Myelodysplastic syndrome|Brain neoplasm malignant|Arteriovenous malformation|Crohn's disease|Neurodermatitis|Leprosy|Cutaneous lupus erythematosus|Amyloidosis|Lepromatous leprosy|Behcet's syndrome|Aphthous ulcer|Waldenstrom's macroglobulinaemia|Prostate cancer|Pyoderma gangrenosum|Hereditary haemorrhagic telangiectasia,MONDO:0009693|MONDO:0009692|MONDO:0007915|MONDO:0018881|MONDO:0001657|MONDO:0016234|MONDO:0005011|MONDO:0006585|MONDO:0005124|MONDO:0005282|MONDO:0019065|MONDO:0005127|MONDO:0007191|MONDO:0005318|MONDO:0000432|MONDO:0008315|MONDO:0018824|MONDO:0019180,C0026764|C0026987|C0024141|C3463824|C0153633|C0003857|C0010346|C0027822|C0023343|C0024137|C0002726|C0023348|C0004943|C0038363|C0024419|C0376358|C0085652|C0039445
107,ALUNBRIG|Brigatinib,1921217,Lung neoplasm malignant,MONDO:0008903,C0242379
108,POTASSIUM ACETATE|POTASSIUM ACETATE.,54987,,,
109,DALBAVANCIN.|DALVANCE,1539239,Cellulitis,MONDO:0005230,C0007642
110,Polystyrene Sulfonate,1546437,,,
111,ACTIRA|AVALOX|AVELOX|IZILOX|MOXEZA|moxifloxacin|MOXIFLOXACIN HCL|MOXIFLOXACIN HYDROCHLORIDE|MOXIFLOXACIN HYDROCHLORIDE.|MOXIFLOXACIN OPHTHALMIC SOLUTION|MOXIFLOXACIN.|VIGAMOX,139462,Sinusitis|Pneumonia|Bronchitis|Tuberculosis|Conjunctivitis|Urinary tract infection|Chronic obstructive pulmonary disease|Eye infection,MONDO:0005961|MONDO:0005249|MONDO:0003781|MONDO:0018076|MONDO:0003799|MONDO:0005247|MONDO:0011751|MONDO:0043885,C0037199|C0032285|C0006277|C0041296|C0009763|C0042029|C0024117|C0015403
112,AZASITE|AZITHROMYCIN|AZITHROMYCIN 250 MG|Azithromycin 500 mg|AZITHROMYCIN ANHYDROUS.|AZITHROMYCIN DIHYDRATE|AZITHROMYCIN DIHYDRATE.|AZITHROMYCIN MONOHYDRATE.|Z-PAK|ZITHROMAX|Zitromax|Zmax,18631,Pneumonia|Bronchitis|Sinusitis|Blepharitis|Nasopharyngitis|Ear infection|Influenza|Pharyngitis|Chlamydial infection|Mycobacterium avium complex infection|Bacterial infection|Eye infection|Obliterative bronchiolitis|Chronic obstructive pulmonary disease|Tonsillitis|Lung disorder,MONDO:0005249|MONDO:0003781|MONDO:0005961|MONDO:0004785|MONDO:0001040|MONDO:0021666|MONDO:0013855|MONDO:0002258|MONDO:0005701|MONDO:0005866|MONDO:0015575|MONDO:0043885|MONDO:0005681|MONDO:0011751|MONDO:0001039|MONDO:0005275,C0032285|C0006277|C0037199|C0005741|C0027441|C0699744|C0021400|C0031350|C0008149|C0026916|C0004623|C0015403|C0006272|C0024117|C0040425|C0024115
113,CLOPIDOGREL|CLOPIDOGREL BISULFATE|CLOPIDOGREL BISULFATE.|PLAVIX,32968,Acute coronary syndrome|Cerebrovascular accident|Myocardial infarction|Transient ischaemic attack|Coronary artery disease|Acute myocardial infarction|Atrial fibrillation|Myocardial ischaemia|Cerebral infarction|Thrombosis|Cardiac disorder|Ischaemic stroke|Arterial occlusive disease|Cardiovascular disorder|Angina unstable|Carotid artery stenosis|Peripheral vascular disorder|Hypertension|Arteriosclerosis|Coagulopathy,MONDO:0005542|MONDO:0005098|MONDO:0005068|MONDO:0005264|MONDO:0005010|MONDO:0004781|MONDO:0004981|MONDO:0005010|MONDO:0002679|MONDO:0000831|MONDO:0005267|MONDO:0011057|MONDO:0005294|MONDO:0004995|MONDO:0006805|MONDO:0001612|MONDO:0005294|MONDO:0005044|MONDO:0002277|MONDO:0016627,C0948089|C0038454|C0027051|C0007787|C1956346|C0155626|C0004238|C0151744|C0007785|C0040053|C0018799|C0948008|C0003838|C0007222|C0002965|C0007282|C0085096|C0020538|C0003850|C0005779
